,review,review_tokenize,label,domain
10,"tôi cập nhật lại aP hack não này từ hôm qua lúc tôi làm đã đến unit 40 nhưng lúc cập nhật về mở ra thì nó lại trở về unit 28 (lúc mà tôi cập nhật lần đầu tiên ,còn đây là lần thứ 2 tôi cập nhật) tôi chỉ cho aP này   1star   cho đến khi nào aP trở về trạng thái ban đầu ( đủ hết 40 unit như lúc chưa cậ... bài đánh giá đầy đủ","tôi cập_nhật lại aP hack não này từ hôm_qua lúc tôi làm đã đến unit 40 nhưng lúc cập_nhật về mở ra thì nó lại trở về unit 28 ( lúc mà tôi cập_nhật lần đầu_tiên , còn đây là lần thứ 2 tôi cập_nhật ) tôi chỉ cho aP này 1star cho đến khi nào aP trở về trạng_thái ban_đầu ( đủ hết 40 unit như lúc chưa cậ ... bài đánh_giá đầy_đủ",1.0,app
11,mình mới tiếp xúc và bắt đầu tự học nhưng đã thấy ứng dụng rất tốt. mong admin sẽ phát triển ứng dụng tốt hơn nữa. cám ơn,mình mới tiếp_xúc và bắt_đầu tự học nhưng đã thấy ứng_dụng rất tốt . mong admin sẽ phát_triển ứng_dụng tốt hơn nữa . cám_ơn,0.0,app
12,sản phẩm tốt giá rẻ 👍,sản_phẩm tốt giá rẻ 👍,0.0,cosmetic
13,"chào tiki, bạn giao thiếu hàng của tôi, thậm chí là cả giấy biL dán lên kiện cũng chỉ ghi một món thôi mà vẫn đề thu giá tiền 2 món sao. ? ban đầu khi thấy gói hàng được đóng rất cẩn thận làm mình rất hài lòng, nhưng sau khi mở ra và phát hiện lỗi này thì mình rất thất vọng, liệu có phải bạn cố ý làm... bài đánh giá đầy đủ","chào tiki , bạn giao thiếu hàng của tôi , thậm_chí là cả giấy biL dán lên kiện cũng chỉ ghi một món thôi mà vẫn đề thu giá tiền 2 món sao . ? ban_đầu khi thấy gói hàng được đóng rất cẩn_thận làm mình rất hài_lòng , nhưng sau khi mở ra và phát_hiện lỗi này thì mình rất thất_vọng , liệu có phải bạn cố_ý làm ... bài đánh_giá đầy_đủ",1.0,app
14,giao đủ sản phẩm... mong là lần sau  cửa hàng  giao hàng nên gói sản phẩm vào bọc nhựa chống xóc... cứ để không lông trong hộp như vậy mà cái hộp đựng thì không gian chứa quá rộng... mong  cửa hàng  chú ý,giao đủ sản_phẩm ... mong là lần sau cửa_hàng giao hàng nên gói sản_phẩm vào bọc nhựa chống xóc ... cứ để không lông trong hộp như vậy_mà cái hộp đựng thì không_gian chứa quá rộng ... mong cửa_hàng chú_ý,1.0,cosmetic
15,"sản phẩm nguyên seal, dóng goi cẩn thận","sản_phẩm nguyên seal , dóng goi cẩn_thận",0.0,mobile
16,"mới dùng 2 ngày chưa thấy hiệu  quả  lắm.  được  cái nhìn da min và láng hơn. tinh chất thấm nhanh và không gây dầu nữa. mỗi tội lazada vận chuyển hàng tẹ quá, không hết vỏ hộp bung lọ tinh chất ra ngoài làm mình cứ lo hàng giả nhưng test lại với thuốc sát trùng thì vẫn đúng. hy vọng dùng một thời gian nữa da sẽ có cải thiện","mới dùng 2 ngày chưa thấy hiệu_quả lắm . được cái nhìn da min và láng hơn . tinh_chất thấm nhanh và không gây dầu nữa . mỗi tội lazada vận_chuyển hàng tẹ quá , không hết vỏ hộp bung lọ tinh_chất ra ngoài làm mình cứ lo hàng giả nhưng test lại với thuốc sát_trùng thì vẫn đúng . hy_vọng dùng một thời_gian nữa da sẽ có cải_thiện",1.0,cosmetic
17,"phần mềm chay tốt, thường xuyên được cập nhật thêm tỉnh năng mới. mong moi người cài đặt để bảo vệ mình và bảo vệ cộng đồng.","phần_mềm chay tốt , thường_xuyên được cập_nhật thêm tỉnh năng mới . mong moi người cài_đặt để bảo_vệ mình và bảo_vệ cộng_đồng .",0.0,app
18,được làm bạn,được làm_bạn,0.0,fashion
19,"em có một tài khoản lần đầu em bị mất xim nên em đã thêm số điện thoại mới. thế mà mới vừa rồi em đổi mật khẩu quên khuấy mất. nên em dùng số mới để quên mật khẩu mà nó cứ đòi gửi mã về số điện thoại cũ kia. bây giờ em không biết làm như thế này cả, tài khoản ấy em chơi mấy năm rồi .","em có một tài_khoản lần đầu em bị mất xim nên em đã thêm số điện_thoại mới . thế_mà mới vừa_rồi em đổi mật_khẩu quên_khuấy mất . nên em dùng số mới để quên mật_khẩu mà nó cứ đòi gửi mã về số điện_thoại cũ kia . bây_giờ em không biết làm như thế này cả , tài_khoản ấy em chơi mấy năm rồi .",1.0,app
20,"game khá hay, nhưng hơi mất cân bằng giữa các phái. cần giảm sức mạnh của phái người thú đặc biệt là brutus xem bảng xếp hạng toàn thấy đội người thú thôi chán lắm. tỉ lệ ra tướng tím cũng khá thấp. càng về sau thì màn chơi hơi đuối nên lâu lắm mới qua được một màn boS. chế độ trong game nên phong p... bài đánh giá đầy đủ","game khá hay , nhưng hơi mất cân_bằng giữa các phái . cần giảm sức_mạnh của phái người thú đặc_biệt là brutus xem bảng xếp_hạng toàn thấy đội người thú thôi chán lắm . tỉ_lệ ra tướng tím cũng khá thấp . càng về sau thì màn chơi hơi đuối nên lâu lắm mới qua được một màn boS . chế_độ trong game nên phong p ... bài đánh_giá đầy_đủ",1.0,app
21,"son được,nhưng không lì lắm","son được , nhưng không lì lắm",1.0,cosmetic
22,"cập nhật không gì vào game không  được , load 79% đứng hình luôn. một sai lầm của các game là đưa thêm nhiều tính năng, cập nhật, làm máy nặng, lag. người chơi phải hoàn thành nhiều nhiệm vụ, mà số không ít người chơi không có thời gian, đâm ra nản rồi xoá game.","cập_nhật không gì vào game không được , load 79 % đứng hình luôn . một sai_lầm của các game là đưa thêm nhiều tính_năng , cập_nhật , làm máy nặng , lag . người chơi phải hoàn_thành nhiều nhiệm_vụ , mà số không ít người chơi không có thời_gian , đâm_ra nản rồi xoá game .",1.0,app
23,kem nền ok. nhanh khô khồng nhờn. giao hàng nhanh. thời gian đặt hàng đến khi nhận hàng chưa đầy 24h,kem nền ok . nhanh khô khồng nhờn . giao hàng nhanh . thời_gian đặt_hàng đến khi nhận hàng chưa đầy 24h,0.0,cosmetic
24,cao m63 mặc hơi ngắn ạ còn quần đẹp hình nè,cao m63 mặc hơi ngắn ạ còn quần đẹp hình nè,0.0,fashion
25,không có sticker hàng lỗi chả đâu vào đâu,không có sticker hàng lỗi chả đâu vào đâu,1.0,fashion
26,vấn đề là cài cho 2 số điện thoại trên điện thoại 2 sim luôn để khi gọi điện nó không nhắc mình cài nữa chứ mất  thời gian  quá,vấn_đề là cài cho 2 số điện_thoại trên điện_thoại 2 sim luôn để khi gọi điện nó không nhắc mình cài nữa chứ mất thời_gian quá,1.0,app
27,tôi thay rat thích,tôi thay rat thích,0.0,app
28, sản phẩm  rất tốt,sản_phẩm rất tốt,0.0,cosmetic
29,giao hàng nhanh chất lượng  5star  giá tiền phù hợp,giao hàng nhanh chất_lượng 5star giá tiền phù_hợp,0.0,fashion
30,chậm cập nhật. game giật lag rất nhiều rất với các bản khác. gặp hack nhiều thêm cái nữa là hay bị đá ra khi đang bắn. gặp vấn đề quá rõ rệt nhưng nhà game không khắc phục. chậm cập nhập quá admin ơi người ta có bản đăng hạn sử dụng  mới cả tuần rồi việt nam mình vẫn im re vậy. có gì thông báo cho chúng tôi với,chậm cập_nhật . game giật lag rất nhiều rất với các bản khác . gặp hack nhiều thêm cái nữa là hay bị đá ra khi đang bắn . gặp vấn_đề quá rõ_rệt nhưng nhà game không khắc_phục . chậm cập nhập quá admin ơi người_ta có bản đăng hạn sử_dụng mới cả tuần rồi việt nam mình vẫn im_re vậy . có gì thông_báo cho chúng_tôi với,1.0,app
31,vải tốt quần chất lượng lắm mặt nạ nên mua,vải tốt quần chất_lượng lắm mặt_nạ nên mua,0.0,fashion
32,rẻ bổ ngon,rẻ bổ ngon,0.0,cosmetic
33,ứng dụng rất là hay và bổ ích. aP có thể mở thêm phần thanh toán theo từng tháng không ?,ứng_dụng rất là hay và bổ_ích . aP có_thể mở thêm phần thanh_toán theo từng tháng không ?,1.0,app
34,phầnちょうかい n3 rất khó nghe,phầnちょうかい n3 rất khó nghe,1.0,app
35, sản phẩm  tuyệt vời rất với giá...,sản_phẩm tuyệt_vời rất với giá ...,0.0,mobile
36,hàng đẹp lắm ạ nhưng thiếu 2 sticker🤦‍♀,hàng đẹp lắm ạ nhưng thiếu 2 sticker 🤦 ‍ ♀,1.0,fashion
37,game hay nhưng lại yêu cầu nâng cấp môn khách với ải và các hài nhi khó khăn nâng cấp khi không còn tiền ải thì eo có con lính nuôi con mà đợi lâu quá trời hoạt đan thì chỉ có mấy cái tính cắt cổ người khác à! game thì chán mà lại như thế thì dẹp đi. anh còn nữa đồ hoạ thăm hỏi với con cái không đẹp nếu có ... bài đánh giá đầy đủ,game hay nhưng lại yêu_cầu nâng_cấp môn khách với ải và các hài nhi khó_khăn nâng_cấp khi không còn tiền ải thì eo có con lính nuôi con mà đợi lâu quá trời hoạt đan thì chỉ có mấy cái tính cắt_cổ người khác à ! game thì chán mà_lại như thế_thì dẹp đi . anh còn nữa đồ_hoạ thăm_hỏi với con_cái không đẹp nếu có ... bài đánh_giá đầy_đủ,1.0,app
38,"điện thoại mới, nguyên seal .giao nhanh chỉ chờ một ngày là nhận được. mới xài thì thấy được ,còn về lâu dài mới biết chất lượng thế nào","điện_thoại mới , nguyên seal . giao nhanh chỉ chờ một ngày là nhận được . mới xài thì thấy được , còn về lâu_dài mới biết chất_lượng thế_nào",0.0,mobile
39,mình đặt là loại chai xịt như này nhưng hàng nhận lại là chai đóng nắp. và không có quà tặng kèm như khuyến mãi. mong chủ  cửa hàng  xem lại,mình đặt là loại chai xịt như này nhưng hàng nhận lại là chai đóng nắp . và không có quà tặng kèm như khuyến_mãi . mong chủ cửa_hàng xem_lại,1.0,cosmetic
40,mới vô được kc frE đúng là chủ game có khác tôi cho luôn  5star  để sau này phát triển mạnh hơn nữa  positive )))),mới vô được kc frE đúng là chủ game có khác tôi cho luôn 5star để sau_này phát_triển mạnh hơn nữa positive ) ) ) ),0.0,app
41,đẹp rts tốt nên mua hợp giá tiền nhưng mà giống phếch,đẹp rts tốt nên mua hợp giá tiền nhưng mà giống phếch,0.0,fashion
42,cho hỏi aP là tại sao khi mới tải xong ấn vào để chơi mà nó cứ xoay vòng vòng mãi không được thế 💁💁💁. mong aP giải đáp thắc mắc này.,cho hỏi aP là tại_sao khi mới tải xong ấn vào để chơi mà nó cứ xoay vòng_vòng mãi không được thế 💁 💁 💁 . mong aP giải_đáp thắc_mắc này .,1.0,app
43,"càng ngày càng tệ, từ khi không cho kiểm tra hàng trước, luôn là sản phẩm kém chất lượng, áo quần mua về không bằng miếng dẽ lâu... kêu là có gì thì liên hệ với bộ phận chăm sóc khách hàng, nhưng khi giải quyết thì âu ơ ví dầu, đổi đi đổi lại 3 tháng vẫn chưa xong, kêu trả tiền lại thì không chịu tr... bài đánh giá đầy đủ","càng ngày_càng tệ , từ khi không cho kiểm_tra hàng trước , luôn là sản_phẩm kém chất_lượng , áo_quần mua về không bằng miếng dẽ lâu ... kêu là có gì thì liên_hệ với bộ_phận chăm_sóc khách_hàng , nhưng khi giải_quyết thì âu ơ ví_dầu , đổi đi đổi lại 3 tháng vẫn chưa xong , kêu trả tiền lại thì không chịu tr ... bài đánh_giá đầy_đủ",1.0,app
44,"game có quá nhiều thành phần không tốt, như những người lớn tuổi hay nhỏ tuổi đều có những thành vi không tốt, ăn nói không có đạo đức, và rất chửa tục, cần checking những aC đó, và khoá aC nếu 3 phiếu tố cao nhiều lần, hoặc nhiều tố cáo trong những trận liên tục, và cần nghiêm khắc hơn trong việc tố cáo, ... bài đánh giá đầy đủ","game có quá nhiều thành_phần không tốt , như những người lớn_tuổi hay nhỏ_tuổi đều có những thành vi không tốt , ăn_nói không có đạo_đức , và rất chửa tục , cần checking những aC đó , và khoá aC nếu 3 phiếu tố cao nhiều lần , hoặc nhiều tố_cáo trong những trận liên_tục , và cần nghiêm_khắc hơn trong việc tố_cáo , ... bài đánh_giá đầy_đủ",1.0,app
45, sản phẩm  tốt nhé,sản_phẩm tốt nhé,0.0,cosmetic
46,ứng dụng phiên bản về sau tệ quá. bắt cập nhật dữ liệu oFline suốt. đề nghị bỏ cập nhật dữ liệu oFline đi. lúc cần gấp mà không có mạng thì coi như hỏng. có ứng dụng như không. phải chạy ra chỗ có wifi hay internet để cập nhật dữ liệu oFline. phiền phức quá,ứng_dụng phiên_bản về sau tệ quá . bắt cập_nhật dữ_liệu oFline suốt . đề_nghị bỏ cập_nhật dữ_liệu oFline đi . lúc cần gấp mà không có mạng thì coi như hỏng . có ứng_dụng như_không . phải chạy ra chỗ có wifi hay internet để cập_nhật dữ_liệu oFline . phiền_phức quá,1.0,app
47,sản phẩm tuyệt vời,sản_phẩm tuyệt_vời,0.0,fashion
48,hàng đẹp shiPer thân thiện.  5star ,hàng đẹp shiPer thân_thiện . 5star,0.0,mobile
49,"vừa đặt hôm qua, hôm nay hàng giao tới, giao hàng nhanh thật, chất lượng thì quá được 🙆","vừa đặt hôm_qua , hôm_nay hàng giao tới , giao hàng nhanh thật , chất_lượng thì quá được 🙆",0.0,cosmetic
50,"trên  quả người cáo có quà tặng, mà giao hàng không có. không hài lòng chút nào .dù là quà không không dùng được cũng phải tăng như  quả người cáo chứ 😡😡😡😡","trên quả người cáo có quà tặng , mà giao hàng không có . không hài_lòng chút nào . dù là quà không không dùng được cũng phải tăng như quả người cáo chứ 😡 😡 😡 😡",1.0,cosmetic
51,"không hiểu nổi. ứng dụng 4, 5star   nhưng có thể tự huỷ đơn hàng của người mua với lỗi lưu kho, quăng cho một mã giảm giá 5% và lời xin lỗi tự động. mình mua hàng cũng nhiều trên ứng dụng này nhưng giờ lại cảm thấy không tin tưởng được nữa. mất thời gian của nhau.","không hiểu nổi . ứng_dụng 4 , 5star nhưng có_thể tự huỷ đơn hàng của người mua với lỗi lưu kho , quăng cho một mã giảm_giá 5 % và lời xin_lỗi tự_động . mình mua hàng cũng nhiều trên ứng_dụng này nhưng giờ lại cảm_thấy không tin_tưởng được nữa . mất thời_gian của nhau .",1.0,app
52,"chuẩn màu, đẹp","chuẩn màu , đẹp",0.0,cosmetic
53,"tôi rất thích game này nhưng càng lúc cấu hình game càng nặng, thật sự rất lag luôn, máy bên tôi lúc nào cũng trễ hơn bên đồng đội vài giây, có khi còn bị đứng hình hay cứ bị chạy giật lùi do kết nối mạng nữa. mong game có cách khắc phục chứ game càng lúc càng nặng thì người không có điều kiện đổi m... bài đánh giá đầy đủ","tôi rất thích game này nhưng càng lúc cấu_hình game càng nặng , thật_sự rất lag luôn , máy bên tôi lúc_nào cũng trễ hơn bên đồng_đội vài giây , có khi còn bị đứng hình hay cứ bị chạy giật_lùi do kết_nối_mạng nữa . mong game có cách khắc_phục chứ game càng lúc càng nặng thì người không có điều_kiện đổi m ... bài đánh_giá đầy_đủ",1.0,app
54,nói là  được  tặng khi mua hoá đơn 486k trở lên mà không thấy có gì.rất thất vọng.,nói là được tặng khi mua hoá_đơn 486k trở lên mà không thấy có gì . rất thất_vọng .,1.0,cosmetic
55,"frE fire là tựa game bắn súng sinh tốn hot nhất trên mobile. không mất quá nhiều thời gian cho người chơi, mỗi 10 phút bạn có thể chiến đấu với 49 người chơi khác, tất cả vì mục tiêu tồn tại đến cuối cùng. người chơi có thể tuỳ chọn vị trí để nhảy dù, đáp xuống, thu thập vật phẩm để chống lại người... bài đánh giá đầy đủ","frE fire là tựa game bắn súng sinh tốn hot nhất trên mobile . không mất quá nhiều thời_gian cho người chơi , mỗi 10 phút bạn có_thể chiến_đấu với 49 người chơi khác , tất_cả vì mục_tiêu tồn_tại đến cuối_cùng . người chơi có_thể tuỳ chọn vị_trí để nhảy_dù , đáp xuống , thu_thập vật_phẩm để chống lại_người ... bài đánh_giá đầy_đủ",0.0,app
56,thang suc vat nao quang cao vay keu no di chet di (ko tien không linh sao choi....choi cai lồn M thang suc vat),thang suc vat nao quang cao vay keu no di_chet_di ( ko tien không linh sao choi ... . choi cai lồn M thang suc vat ),1.0,app
57,đẹp giao đúng hình nhưng  cỡ  lồn hơi chật,đẹp giao đúng hình nhưng cỡ lồn hơi chật,1.0,fashion
58,sài thích lắm,sài thích lắm,0.0,cosmetic
59,"giao hàng nhanh, chất lượng chưa biết","giao hàng nhanh , chất_lượng chưa biết",0.0,cosmetic
60, cửa hàng  giao thiếu quà tặng là nước tẩy trang rồi!,cửa_hàng giao thiếu quà tặng là nước tẩy_trang rồi !,1.0,cosmetic
61,hàng đóng gói đẹp máy nguyên zin .tốt trong tầm giá này quá được,hàng đóng_gói đẹp máy nguyên zin . tốt trong tầm giá này quá được,0.0,mobile
62,giao hàng nhanh.  hạn sử dụng  của sản phẩm cũ.,giao hàng nhanh . hạn sử_dụng của sản_phẩm cũ .,1.0,cosmetic
63,sản phẩm đúng như trong hình rất đẹp,sản_phẩm đúng như trong hình rất đẹp,0.0,fashion
64,không giống hình,không giống hình,1.0,fashion
65,son lên màu rất đẹp,son lên màu rất đẹp,0.0,cosmetic
66,"game này hút máu kinh lắm, ban đầu chơi sẽ bị cuốn hút, số tiền nạp rất nhỏ. nhưng càng chơi giá tiền nạp sẽ càng cao. một server chỉ tồn tại khoảng vài tháng, sau đó sẽ thành server chết. ai nạp nhiều sẽ rất tiếc. bản cập nhật mới ra khi dịch chuyển lính mới bị văng khỏi game. đã thử trên nhiều máy m... bài đánh giá đầy đủ","game này hút máu kinh lắm , ban_đầu chơi sẽ bị cuốn_hút , số tiền nạp rất nhỏ . nhưng càng chơi giá tiền nạp sẽ càng cao . một server chỉ tồn_tại khoảng vài tháng , sau đó sẽ thành server chết . ai nạp nhiều sẽ rất tiếc . bản cập_nhật mới ra khi dịch_chuyển lính mới bị văng khỏi game . đã thử trên nhiều máy m ... bài đánh_giá đầy_đủ",1.0,app
67,"hàng tốt, giao hàng đúng hẹn. cần có thêm lớp đệm bảo vệ trong hộp.","hàng tốt , giao hàng đúng hẹn . cần có thêm lớp đệm bảo_vệ trong hộp .",0.0,mobile
68,zai xin lỗi nhỏ quá 50  không mặc vừa  cửa hàng  cho đổi lại zai lớn được không,zai xin_lỗi nhỏ quá 50 không mặc vừa cửa_hàng cho đổi lại zai lớn được không,1.0,fashion
69,càng dùng mụn càng nổi nhiều,càng dùng mụn càng nổi nhiều,1.0,cosmetic
70,trước lúc sử dụng nhãn_hiệu C da mình có lỗ chân lông to với bị xạm. khi dung rồi thì thật sự thấy tốt lắm với ngoài việc làm sáng da thì em nó còn giúp se khít lỗ chân lông nữa chị em nên mua dùng.,trước lúc sử_dụng nhãn_hiệu C da mình có lỗ chân_lông to với bị xạm . khi dung rồi thì thật_sự thấy tốt lắm với ngoài việc_làm sáng da thì em nó còn giúp se khít lỗ chân_lông nữa chị_em nên mua dùng .,0.0,cosmetic
71,quần không giống màu,quần không giống màu,1.0,fashion
72,hàng đẹp vải tốt nên em sẽ ủng hộ  cửa hàng  nhiều hơn,hàng đẹp vải tốt nên em sẽ ủng_hộ cửa_hàng nhiều hơn,0.0,fashion
73,đóng gói cực kì cẩn thận,đóng_gói cực_kì cẩn_thận,0.0,cosmetic
74,"game càng ngày càng chán. vừa mới chỉ nhấn nhầm vào nút thoát ra, xong vào lại. thì lại bắt mình vào lại từ đầu, trong khi mình đã vào trận đấu. và có một lỗi rất lớn và cũng không biết có ai bị như tôi k, là cứ chơi  được  thời gian, khi mình vào lại thì màn hình tối thui. nhiều lúc cứ phải xoá đi, tải... bài đánh giá đầy đủ","game càng ngày_càng chán . vừa_mới chỉ nhấn nhầm vào nút thoát ra , xong vào lại . thì lại bắt mình vào lại từ đầu , trong khi mình đã vào trận_đấu . và có một lỗi rất lớn và cũng không biết có ai bị như tôi k , là cứ chơi được thời_gian , khi mình vào lại thì màn_hình tối thui . nhiều lúc cứ phải xoá đi , tải ... bài đánh_giá đầy_đủ",1.0,app
75,"chất lượng, như hình","chất_lượng , như hình",0.0,fashion
76,"giao hang nhanh, dong goi can than, nv giao hang nhiet tinh","giao hang nhanh , dong goi can than , nv giao hang nhiet tinh",0.0,cosmetic
77,"game này tôi chơi rất vui.các phiên bản cập nhật này,các chế độ sinh tồn này đã đều mang lại cảm giác sảng khoái cho mỗi người đã chơi tựa game này.tựa game mà tôi đã yêu quí nhất và nó đã mang lại cho tôi nhiều cảm giác lúc vui,sợ,buồn.các bạn hãy tải tựa game này nhanh.(i thích mini world block art... bài đánh giá đầy đủ","game này tôi chơi rất vui . các phiên_bản cập_nhật này , các chế_độ_sinh_tồn này đã đều mang lại cảm_giác sảng_khoái cho mỗi người đã chơi tựa game này . tựa game mà tôi đã yêu_quí nhất và nó đã mang lại cho tôi nhiều cảm_giác lúc vui , sợ , buồn . các bạn hãy tải tựa game này nhanh . ( i thích mini world block art ... bài đánh_giá đầy_đủ",0.0,app
78,"dép đẹp, giao hàng nhanh, nhưng không có hiệu cá  xấu  ngoài sau gót chân","dép đẹp , giao hàng nhanh , nhưng không có hiệu cá xấu ngoài sau gót chân",1.0,fashion
79,game rất hay nhưng hãy làm thêm một số thứ như ô tô và làm thêm nhiều xe mới và làm cho đường đua dài thêm và cho thêm chế độ đua cùng bạn bè nhé mong admin làm <3,game rất hay nhưng hãy làm thêm một_số thứ như ô_tô và làm thêm nhiều xe mới và làm cho đường đua dài thêm và cho thêm chế_độ đua cùng bạn_bè nhé mong admin làm < 3,1.0,app
80,hang đẹp được,hang đẹp được,0.0,fashion
81,game chơi rất hay nhưng có điều đó là hơi lag,game chơi rất hay nhưng có điều đó là hơi lag,1.0,app
82,giao hàng nhanh . gói hàng cẩn thận 👍,giao hàng nhanh . gói hàng cẩn_thận 👍,0.0,cosmetic
83,"mẫu giống hình, vải quần mỏng và ngắn áo chất liệu dày nhưng có chút hở chỉ.","mẫu giống hình , vải quần mỏng và ngắn áo chất_liệu dày nhưng có chút hở chỉ .",1.0,fashion
84,không hay >:( 😡👎 cho không sao mà không  được  😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎mà không xoá qu.cáo  được  nên tức😡😡😡😡😡 i hat you,không hay > : ( 😡 👎 cho không sao mà không được 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 mà không xoá qu . cáo được nên tức 😡 😡 😡 😡 😡 i hat you,1.0,app
85,tốt rất hài lòg,tốt rất hài lòg,0.0,mobile
86,"giử hàng o đủ như  quả người cáo, quá thất vọng o có thì đừng lừa vậy","giử hàng o đủ như quả người cáo , quá thất_vọng o có thì đừng lừa_vậy",1.0,cosmetic
87,"sản phẩm tốt, lần sau nhất định sẽ ủng hộ tiếp","sản_phẩm tốt , lần sau nhất_định sẽ ủng_hộ tiếp",0.0,fashion
88,đặt màu xanh dương mà giao màu hồng,đặt màu xanh dương mà giao màu hồng,1.0,fashion
89,mỏng thấy cả quần lót,mỏng thấy cả quần_lót,1.0,fashion
90,tuyệt vời cho người không biết một tí gì như tôi,tuyệt_vời cho người không biết một_tí gì như tôi,0.0,app
91, cửa hàng  giao hàng được lắm mọi người nên mua,cửa_hàng giao hàng được lắm mọi người nên mua,0.0,fashion
92," sản phẩm  đẹp, chất lượng được","sản_phẩm đẹp , chất_lượng được",0.0,fashion
93,admin ơi hãy thương những người chơi game này mà không thể đi tới poke cửa hàng   được  hay gym xin hãy cho những thứ đó ở những tỉnh thành nhỏ nhỏ đi như thế sẽ có nhiều người chơi lắm đó tôi mê game này lắm nhưng không thể quay poke cửa hàng  hay baTle gym nhưng tôi vẫn chơi vì đợi admin xem xét lại và đăng lên map mới 😃😀,admin ơi hãy thương những người chơi game này mà không_thể đi tới poke cửa_hàng được hay gym xin hãy cho những thứ đó ở những tỉnh_thành nhỏ nhỏ đi như thế sẽ có nhiều người chơi lắm đó tôi mê game này lắm nhưng không_thể quay poke cửa_hàng hay baTle gym nhưng tôi vẫn chơi vì đợi admin xem_xét_lại và đăng lên map mới 😃 😀,1.0,app
94,quần quá ngắn và mỏng,quần quá ngắn và mỏng,1.0,fashion
