review,rating,complaint_label
"Kiểm soát dầu:tóc bết dã man bết Làm sạch:công ty coi lại công thức với ạ, sp mới mà xài chán ơi là chán, tóc mau bết, mau ngứa, mua xong xài vài lần phần còn lại để đó ngó",1,1
"Đặc ba hộp móp méo đủ ba,giống như là shop giao hàng móp",1,1
Ko co kèm quà tặng như trên giới thiệu,1,1
mũ xinh lắm mn a giá củng okk form đẹp màu đẹppp in đẹp nch oklaa,5,0
K thây quà tặng nào cả,2,1
"Túi đẹp, đóng gói kĩ nhưng túi bị lỗi đường chỉ có nt qua cskh nhưng shop hỗ trợ k linh hoạt. Vì cần gấp nên mới nhận đỡ, sẽ không quay lại lần sau.",2,1
"Giao diện chuyên nghiệp, mới dùng thấy ok, không bị khô da, nhẹ nhàng thoải mái",5,0
"Mùi thơm thích lắm, nhiều gel k bị khô đâu ạ :)) hy vọng hiệu quả tránh thai chất lượng",5,0
"Làm sạch:Sachj da và giúp cải thiện mụn lưng Hương thơm:mùi thơm siêu dễ chịu, lưu hương khoảng 1-2 tiêgn",5,0
Nói là có sản phẩm tặng kèm mà thật ra không có . Shop làm ăn không uy tín,1,1
Làm sáng:lam sang da sau thời gian sd lâu dài Thẩm thấu:nhanh ko bet dinh Mờ thâm:tham nhẹ sẽ mờ đi  Sp dùng rất ưng ý,5,0
"Giao thiếu hàng quà tặng, nhắn tin k phản hồi, shop phục vụ quá tệ, K ủng hộ tiếp theo",1,1
"Kinh nghiệm sử dụng:hàng mình mua ghi thì có quà tặng , mở ra đâu thấy gì . Mình mua hàng vì thấy có ưu đãi tặng kèm mà k thấy đâu, sp cũng ok đấy nma làm ăn như này mất uy tín lắm Hương thơm:dịu nhẹ Làm đẹp:mọi loại da  Hàng ok , thái độ shop rất tệ , mua vì quà tặng kèm . Nma shop có tặng gì đâu , lừa đảo",1,1
"Bao bì/Mẫu mã:ok Công dụng:ok  Máy săn sale nên giá hời lứm. 2 nấc nóng lạnh, gập gọn ngon ơ luôn nhé. Shop cbi hàng nhanh, dvvc giao nhanh. Hnay đặt mai nhận luôn, quá tuỵt",5,0
"Lợi ích:dducoj Hương thơm:cung thom Làm đẹp:15, mun , viêm  tr oiiii dunggg ưnggg nhaaa cả nhà",5,0
"Son lỏng như nước, màu lên không giống hình, màu thâm. Làm mình tưởng mua phải hàng giả. Phải kiểm tra lại xem mua đúng chưa. Lúc mua không đọc đánh giá của mọi người, giờ đọc lại thấy nhiều người giống mình",2,1
Phù hợp với loại da:ok Mùi hương:ok Công dụng:ok  Giá cả vừa phải mùi thơm dễ chịu dễ sử dụng k bị vón cục khá tốt dưỡng ẩm tốt,5,0
Mình đang phân Vân Ko biết có phải hàng giả Ko. Mất tự tin khi mua shop. Mùi quá hắc. Bôi xong da dính nham nhắc. Quá phí tiền. Vứt đi tiếc. Mà dùng thì chán,1,1
Shop bảo tặng hàng mà về có lọ sữa tắm thôi à Giao hàng nhanh nhưng nếu k tặng thì đừng đăng lên tặng hàng như thế khách dễ nhầm lẫn,1,1
Đã nhận được sản phẩm đúng mô tả. Nhưng ngày sản xuất cách ngày mua xa quá. Mua tháng 11/ 2025 mà sản xuất tận tháng 9/2024. Chắc sản phẩm này bán không chạy hay sao. Ngày sản xuất ko in trên chai mà dán nhãn lên. Cái này chắc để thay đổi ngày sản xuất cho dễ để lừa người tiêu dùng cho sản phẩm hết hạn.,2,1
"Tem bị xé, lon bị móp trước khi đóng gói. Ngày sản xuất cách đây 1 năm rưỡi. 1 sao hơi rẻ, 0 sao thì đẹp.",1,1
Dưỡng ẩm:tooi thấy kem tốt khi cấp ẩm cho da Kết cấu:chất kem thấm nhanh Mùi hương:muif thơm,5,0
Đóng gói chắc chắn nh shop đóng thiếu tẩy trang tặng hay sao ý😭,2,1
Hàng chuẩn hình ảnh không liên quan shop uy tin mua ban chat luong tạm ổn,5,0
"Giao hàng nhanhC đóng goid kỹ, tư vấn nhiệt tình, dẽ ủng hộ thêm",5,0
"Dành cho da:moi loai da Công dụng:duong da Mùi hương:nhe  shop giao hang nhanh, dong goi chac chắn, sản phẩm khá ổn, bao bì đẹp, lam dep da",5,0
Âm thanh:ok Độ bền:ok Kết nối:ok  Shop giao hàng nhanh đóng gói sản phẩm tốt chất lượng sản phẩm tốt 👌 👍 ok,5,0
Lợi ích:gội xong là nhẹ hết đầu vì còn tóc đâu mà nặng  gội là ngứa đầu tóc rụng từng mảng lớn săn trên live giá rẻ không nên mua,1,1
"Dầu chảy ra ngoài nhiều , đóng gói rất kém, nhận sản phẩm mà cảm giác như mua phải hàng ko chính hãng, nhưng đã mua rồi nên cũng lười trả thôi",1,1
"Trước mình dùng kem chống nắng loại cũ không sao mà giờ dùng thử loại mới thì da kích ứng đỏ khắp mặt, để 5-10 phút cũng không hết đỏ, thật sự rất thất vọng, không biết shop cho đổi đc không",1,1
"Đã nhận được hàng. Mùi thơm dịu nhẹ, mình săn sale mua 118k. Giá cũng khá okela rồi. Mong đợt sau shopee và shop sẽ có nhiều chương trình ưu đãi hơn nữa hihi",5,0
"Hương vị:không ngon, mùi Bao bì/Mẫu mã:xấu  Sữa thì sắp hết date, hàng giao thì bị rò rỉ sữa ra ngoài không hiểu đóng gói kiểu gì, rỉ rõ ra thế mà k xử lý cho khách, đừng ai mua hãng này, sữa ế ít người mua nên gần hết date bán rẻ, uống không ngon bằng vinamilk ,không được một phần của vinamilk",1,1
Hình ảnh không liên quan do mình lười chụp.shop đóng gói rất cẩn thận.sữa ngon.,5,0
Ghi chú có kèm hàng tặng mà k có. Buôn bán kiểu gì kì cục,1,1
"Bao bì/Mẫu mã:sữa tươi dutch lady Hương vị:không đường  Thùng sữa giao tới trong tình trạng còn nguyên vẹn, không bị móp méo hay bị ỉu. Thùng còn nguyên seal, không bị bong tróc nhờ đóng gói kỹ. Bảng thành phần sữa có nhiều chất, hương vị sữa thơm ngon dù là loại không đường. Phù hợp với trẻ nhỏ",5,0
"Hàng giao tới lỏng lẻo, tụt chốt. Phải dùng băng keo dán lại vì ngại đổi trả",2,1
"Review nhẹ một số dòng sữa con uống tăng cân tốt cho cm quan tâm - Grow đỏ: bé uống dễ tiêu hóa tuy nhiên bé nào uống hạp thì lên kg tốt, k hạp sữa thì k cải thiện nhiều - Dòng Meiji là sữa mát, sữa nội địa nhật,  không lo bón nhưng giá khá cao vs không phải bé nào uống cũng lên kg tốt - Friso: sữa dễ tiêu hóa, vị nhạt thanh gần như sữa mẹ, khá dễ uống, con uống output đẹp. Có thể dùng làm sữa chua hoặc làm bánh cho con đều oki cả - Oggi: sữa giúp bé tăng cân tốt, ko bón, lên tầm 5-6 lạng/tháng, có nhiều vị để thay đổi cho con,ngoài ra dòng này còn có cả sữa công thức pha sẵn có thể tùy khẩu vị để lựa chọn cho bé Muốn con lên cân thì ngoài sữa công thức thì chế độ ăn hàng ngày của bé cũng quan trọng không kém, bổ sung đầy đủ các nhóm chất là việc nên làm để con có thể tăng kg tốt hơn. Mẹ nào cần có thể tham khảo",5,0
"Mẫu mã đẹp, sữa ngon",5,0
"Đóng gói quá sơ sài,chưa thấy shop nào đóng gói sản phẩm cẩu thả như vậy,hộp bên ngoài thì cũ,nhàu nát,như kiểu cho sản phẩm vào hộp cũ xong đóng gói gửi cho khách,chưa sử dụng nhưng nhận hàng mở ra là đã thấy không hài lòng,quá thất vọng.",1,1
Độ đều màu:tạm ổn Nâng tông:hơi hơi Chất lượng:thama nhanu  Chất kem lót có màu đỏ ở trong ý k hiwuwr sao lun,1,1
"Chất lượng sản phẩm:chât lượng sản phẩm tốt, dễ sử dụng, bền đẹp Đúng với mô tả:sản phẩm đúng với mô tả",5,0
"sữa dưỡng mùi thơm, bôi lên da ko bị nhớp dính, dùng cho cả bé và mẹ nhé,",5,0
"Sản phẩm quá tệ,quá cứng,lắp vào điện thoại sẻ bị trầy,ko nên mua phí tiền",1,1
Hương thơm:thơm nhẹ Lợi ích:sáng da  Thơm nhẹ kem sữa chua chồng năng nữa thẩm thấu nhanh xài nửa hộp thấy đã có tiến chiến,5,0
Kinh nghiệm sử dụng:mik dùng bản cũ thấy hơi dính còn bản mới này thì chx dùng chx bt ntn nhm mùi thì thơm k bị nhiều cồn như bản cũ Hương thơm:tạm vx hơi cồn,5,0
mua 1 cái giao 1 cái khác 💔,2,1
Shop giao siêu nhanh nha...còn đc tặng nước tẩy q.áo và 2 chai xịt thơm nữa,5,0
"Đóng xốp bọc k kĩ nha, chai dán băng dính bọc từ đầu đến cuối chai, bẩn tèm nhem, chả biết như nào nhưng thấy nvay cũng k ổn, shop nên xem lại cách đóng, này là mình săn được nên cũng thôi!",4,0
"Giao hàng nhanh, đíng gói hàng kĩ, sản phẩm chất lượng phù hợp",5,0
Ship giao quá chậm. Đảm bảo 15 nhận mà tới  19  lun.con khát sữa,1,1
Đối tượng sử dụng:cho em bé nhma mình dùng rất thích Mùi hương:thơm Chất lượng sản phẩm:tuyệt vời  ước có vòi xịt để xịt dễ hơn 😭 còn lại thì tuyệt vời ạ,5,0
Eo ơi. Hối hận vì đã mua. Xài xong ngứa muốn điên. Gội xong tóc khô gàu bay như mưa. Ngày nào cũng phải gội ko là bóng dính luôn,1,1
Hương vị:sản phẩm bị thủng mất chất lượng bên trong kém,1,1
"Hàng đẹp, giao hàng nhanh đóng gói cẩn thận. Shop hỗ trợ rất nhiệt tình. Shipper giao hàng rất nhiệt tình. 5 sao cho dịch vụ vận chuyển.",5,0
Bao bì:tot Kinh nghiệm sử dụng:tam xong su dung Mẹo:cu tam xong xai thoi  Cảm giác không đầm tay như cái đầu tiên mình mua nhẹ nhẹ hơn bi trầy nhẹ thấy ko oke lắm lần này cho shop 8đ vì giao hàng nhanh,2,1
"Mua được sữa với giá hời , hàng chính hãng nen yen tam mua cho con ạ",5,0
Mùi hương:ok Công dụng:ok Dành cho da:ok  đứa em gái đọc 7749 cái review và bắt tui mua dòng có vạch đỏ này để phục vụ cho công cuộc bảo vệ làn da những ngày tháng chuẩn bị treatment sắp tới.,5,0
"Làm đẹp:no Mẹo:no Kinh nghiệm sử dụng:no  Chưa dùng nhưng phải vô đánh giá dịch vụ tệ cho shop Mang tiếng shop mall nhưng làm ăn rất chán Lần đầu đặt đơn srm thấy ok nên mới đặt tiếp tẩy trang Mà lần 2 đặt tự nhiên mới đến kho shipper đã báo hoàn hàng về, mình cứ đổ lỗi cho shipper hóa ra nay đặt lần 3 mới biết lỗi do shop Ship từ cuối VN lên đầu VN mà K CHO 1 MIẾNG CHỐNG XÓC NÀO, vứt nguyên cái chai vô hộp rõ mỏng, đến nơi cái hộp nát như kia, đến miếng dán còn nhăn nhó, may hơn lần trước là chai k bị nứt chảy nước Đã bị 1 lần rồi nên ngay khi đặt đơn cũng đã note shop, sau đó lại gửi tin nhắn lần nữa, cskh hứa nọ hứa kia nhưng nhận đơn đâu vẫn vào đó Trong khi shop khác cùng tỉnh họ bọc cho mấy lớp chống xóc mà sản phẩm còn chả phải dạng lỏng, thì đây ship rõ xa sản phẩm còn dạng nước nhưng thấy bọc trông chán không  Shop nên xem lại nhân viên kho chứ cứ bọc kiểu này shop sẽ mất hết khách kể cả có là shop mall chính hãng đi nữa người ta cũng không quay lại điển hình là mình nhé!",1,1
"Mẹo:k meo Lợi ích:kcn Kinh nghiệm sử dụng:cach 4 tieng  Săn sale Hà Linh giá rẻ, dưỡng ẩm rất ổn. Canh săn mua 2 giá quá hời nên mua nha mọi người",5,0
"Sản phẩm tốt, giao hàng nhanh, được tặng quá trời quà.",5,0
"Không hiểu sao giao thùng sửa bị ướt và 1 hộp bị phồng lên như kiểu sắp hết hạn, xem date thì vẫn còn xa. Bị vỡ 1 hộp nên chảy ra các vỉ xung quanh nên có mùi chua, mình phải tháo hết ra rửa và lau lại từng hôph. Shop xem kỹ hàng và chọn đơn vị vẫn chuyển uy tín chứ ko bán hàng như này ko dám quay lại mua lần nữa thật.",2,1
Bình luận chỉ mang tính chất nhận xu shop đóng gói cẩn thận nhé anh đi shop đóng gói cẩn trọng khi sử của mình để làm cho chi,5,0
"Giao hàng lâu, đến khi nhận hàng thì bị rách nắp, kiểm tra không kĩ đã giao cho khách, do mình cần dùng luôn nên cũng ngại đổi trả. Nó",2,1
Đóng gói hàng rất xinh ạ,5,0
Đóng gói hàng cẩu thả vô cùng,2,1
"thiết kế đẹp nha, máy nhỏ gọn , công xuất mạnh , thanks shop nhiều nhé 😘",5,0
K biết do shop đóng gói sơ sài nên khi vận chuyển nó bị nv hay là hàng trưng bày. Chắc k có lsau quay lại shop nữa,1,1
Chất lượng sản phẩm:tốt Độ tuổi sử dụng:em be  Mùi hơi nồng giống một loại dầu gội nào đó thấm khá nhanh,5,0
"Kính nhỏ hơn, không khớp với kích thước màn hình. Viền đen của miếng dán bị nhỏ hơn viền màn hình.",1,1
"Bỏ ra hộp rách, không có quà tặng kèm theo ?? Do đóng hàng hay do giao hàng. Cũng đánh giá bên giao hàng 1 * rồi",1,1
"Kem thẩm thấu khá nhanh, không gây bết dính. Dùng vài ngày thấy da mềm và ẩm hơn, không bị kích ứng. Mùi dịu nhẹ, dễ chịu. Bao bì chắc chắn, giao hàng đầy đủ, đúng hạn. Sẽ cân nhắc mua lại nếu hợp lâu dài.",5,0
"Công dụng:tay trang Độ bền màu:ko  để ý hãg đóng hàng và giao cực nhanh, 2 đơn mình đặt do đơn t2 này đặt cuối tuần nên thứ 2 mới nhận dc mà vẫn nhanh lắm, sp miễn chê, chai thứ mấy chục r, xài liên tục 3-4 năm nay, làm sạch tốt, trộm vía hạp da nên ko kích ứng, săn sale rẻ nữa, đỉnk",5,0
"Đúng với mô tả, shipper thân thiện phù hợp với Giá tiền giao dúng hạn",5,0
"T đặt 2 túi 2 địa chỉ, 1 túi đã giao, 1 túi bán hết t ntin hỏi có giao kh để t huỷ đặt câi khác thì kêu giao, đến lúc t vô check thì thấy món t đặt hết rồi không giao và tự huỷ do shop k giao cho bên vận chuyển. Chưa bàn tới chất lượng chứ thấy cách pvu là t chê rồi. 1 sao nhé",1,1
"bút viết khá em nhưng dễ bị tắc mực nha, giao hàng nhanh, nchung cũng ổn",5,0
Hàng lỗi mà cũng gửi nữa hả ????,1,1
"Chất lượng giao hàng quá kém, cho shop 7ng mà k thấy phản hồi giải quyết, mua hư hết tận 5 hộp, ae có mua hàng thì cân nhắc nhé!",1,1
Sao ghi là tặng quà mà mình mua không được tặng gì vậy:)),2,1
Dưỡng ẩm:ok Mềm mịn:dep Hương thơm:khong mui  Dung ok lam ạ mình mua rat nhieu lan gia re nè,5,0
"Chất lượng sản phẩm:l  Đóng gói cẩn thận,giao hàng nhanh",5,0
"đóng gói sơ sài, không có được cái hộp đựng chai kem nền , thua chai 100 mấy bạn tui mua nữa, do cần gấp nên mới k trả hàng",1,1
"Chất son:ok Màu sắc:ok  Chất son đẹp, mướt, lên màu rõ, che viền môi, nhưng màu này phải có makeup hoặc",5,0
"Hàng mua link sản phẩm có được tặng quà nhưng k nhận được, hỏi shop thì trả lời vòng vo k đúng mục đích câu hỏi . Nhận hàng thất vọng vì là 1 shop uy tín nhưng sản phẩm không có vỏ hộp hay tem mác gì, không rõ ngày sản xuất. Ghi là hàng nhập nhưng k có bill gì.",1,1
Giao hàng sản phẩm cũ cả năm. mà còn bị móp. xét nữa. Cả năm rồi...,2,1
"Mùi hương:. Chất lượng sản phẩm:. Đối tượng sử dụng:.  Sản phẩm đúng mẫu, hàng ok nha, đáng để mua, giao nhanh nữa ,...",5,0
Chất lượng sản phẩm:ok Bao bì/Mẫu mã:đẹp Độ tuổi sử dụng:11 tháng,5,0
"Bao bì/Mẫu mã:đúng Hương vị:dâu  Đóng hàng ẩu,bọc có 1 lớp,trong khi là sữa bịch.Bể lum la",1,1
"Hình ảnh mang tính minh hoạ. Sữa ok, đóng gói khá cẩn thận, ko bị bục sữa",5,0
"Mình rất hài lòng với sản phẩm mua trên Shopee. Hàng giao nhanh, đóng gói cẩn thận, sản phẩm đúng mô tả và chất lượng tốt so với giá tiền. Sử dụng thấy rất ổn, không có lỗi. Shop tư vấn nhiệt tình, phản hồi nhanh. Sẽ ủng hộ shop trong những lần mua sau. Hình ảnh chỉ mang tính chất nhận xu",5,0
"Hương vị:ngon Bao bì/Mẫu mã:đẹp  Đúng,đủ hàng mình mua được sale cả ship là 73k/1kg luôn",5,0
Mùi hương:không dùng nên không biết🤭 Công dụng:làm sạch  đóng gói cẩn thận có hướng dẫn sử dụng giao hàng nhanh giá tiền hợp lý,5,0
Bao bì/Mẫu mã:ok Hương vị:thoem  Giá rẻ nhé.Sản phảm phù hợp giá tiền. Mua cho con rất thích. Nhưng la nhựa nên khi cắt khó và xấu,5,0
"Mình đã yêu cầu cần op có màng bọc tất cả cam lại , shop ok mình mới đặt, nhận hang thi thấy ko co che cam nào cả, thất vọng",1,1
"Đóng gói tệ ơi là tệ, không quấn chống sốc hay j cả, shop mall mà làm ăn thất trách",1,1
Hàng giao bị thiếu quà tặng kèm,1,1
"Mua lần này ko phải lần đầu , nhưng sản phẩm bị rách , không kiểm tra trc khi gửi hàng cho khách . Liên hệ shop shop hỗ trợ hoàn đổi nhưng mình thấy quá mất thời gian . 🥲",1,1
"Máy dùng hiện tại khá tốt Có 3 chế độ thay đổi linh hoạt Thiết kế cx gọn gàng, dễ mang đi đâu đó Nên mua nhé mn ơi Hình minh hoạ thôi ạ",5,0
"SHOP ơi hàng mình đi TẶNG mà shop đóng gói cho mình như này ạ. Túi form đẹp, sang mà chất lượng hàng đến tay nguyên một vệt đen bẩn và khâu đóng gói thì thất vọng vô cùng.",2,1
Thiếu quà tặng kèm nên tính ra đơn hàng mua sale cũng k rẻ bằng mua thường,1,1
"Đóng hàng ko cẩn thận sữa bị vỡ , ướt các bịch gần đó thối um cả lên",1,1
Làm đẹp:dưỡng da Lợi ích:sáng và đẹp Bao bì:đẹp  Không thơm. Xài thường da đẹp Trị thâm nám tầm 70% thôi. Mua kèm và thuốc uống kèm,5,0
"Hàng giống với quảng cáo, mình sấy thấy cũng khỏe và ấm, đã test đủ các chức năng, giao hàng nhanh chóng",5,0
"Giao hàng nhanh, chưa dùng nên chưa biết sao Hình ảnh chỉ mang tính chất minh họa",5,0
"Đóng gói keo nha, cái tuýp kem nó to thì lấy hộp to hơn xíu đựng cho nó thẳng sản phẩm không dc hở shop? . Mặc dù biết là có bọc nilon quấn kĩ nhưng lỡ nó bể chảy kem ra thì sao?  Cầm tuýp kem bẹo hình bẹo dạng phát chán.@@  Quan trọng: sản phẩm có NSX cũ, từ đầu năm 2024 đến giờ là đã dc 02 năm rồi.  Mặc dù HSD còn tới năm 2026, nhưng mình cũng không ưng cho lắm. Đồ đạc để lâu mà là hàng mỹ phẩm thì dễ bị xỉn màu bên trong lắm.",2,1
"chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm đẹp, giao hàng nhanh",5,0
"Đội ngũ tư vấn cskh vô cùng tệ, toàn trả lời những câu vớ vẩn, 1 đoạn chat mà 3-4 nhân viên nhảy vào chỉ nhắn xin chào r kêu đợi, đợi mấy ngày luôn vẫn k giải đáp đc thắc mắc của kh về việc kiểm tra hàng chính hãng, cảm thấy nghi ngờ về chất lượng.",1,1
"Không xứng đáng . Hàng ọp ẹp, thổi cũng k mạnh như quảng cáo. Tệ",1,1
"Kính chống nhìn trộm cũ nhanh bể quá nên thay thành kính trong, kính trong có vẻ tiết kiệm pin hơn do để độ sáng vừa pải, giao hàng nhanh, gói hàng đầy đủ",5,0
Chất lượng sản phẩm:bình thường  Ngồi kế bên nhìn qua vẫn thấy được  Có chống mà không đáng kể :))),2,1
"Thương hiệu này đã quá quen với mấy mẹ bỉm rồi, ng lớn xài cũng đc luôn, chịu khó săn sale thì giá rất ok luôn.",5,0
"về màu ghi vậy giao kia r bảo giao đúng tui k thích, ghi phân loại đen, nhận về trên hộp ghi xám full, ib hỏi thì bảo xám đen giao đúng 🤦‍♀️🤦‍♀️🤦‍♀️",2,1
"mua 1 lần mà dính tới giờ, dùng sướng lắm mọi người ơiiiii, nên mua nkaaaa",5,0
"Sản phẩm dạng sữa đặc, bôi không bị nặng mặt nhưng dính dấp khó chịu chắc do nhiều dưỡng, dù da mình da hỗn hợp khô ở trong điều hoà 24/24.  Bôi xong da kiểu bóng bóng xỉn xỉn.  Lỡ quẹt luôn 1 đường lên mặt thì chỗ da đó trắng tái lại luôn như vắt tái chanh.  Hương thơm dễ chịu, khả năng chống nắng chưa kiểm chứng được.  Nói chung là khá thất vọng",2,1
Mình k đc nhận đồ này,1,1
Mùi hương:không thích mùi này cho lắm  Hàng không đúng  Shop đăng sản phẩm có hình mặt em bé trên chai nhưng khi gởi hàng về thì lại không có nhé,2,1
"Chất liệu:kn Đúng với mô tả:ko Màu sắc:nhiều nàu  Quần không co giãn như shop quảng cáo với đã mua theo shop tư vấn mà vẫn bị chật, thấy mọi người khen cũng nhiều mà mua về kì kì",2,1
"Bao bì:đẹp, 240ml Làm đẹp:dùng chỗ da dầu",5,0
