index,gold_tags,pred_tags,gold_spans,pred_spans,error_type
11,B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,O I-COMP I-COMP I-COMP I-COMP O O I-COMP,"[(0, 7, 'COMP')]",[],missed_entity
12,O O B-COMP I-COMP I-COMP O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O I-COMP O O O O O O O O O O I-COMP O I-COMP I-COMP I-COMP O O O O O O O O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[(2, 4, 'COMP'), (15, 18, 'COMP'), (23, 26, 'COMP'), (32, 36, 'COMP')]",[],missed_entity
14,O O B-COMP I-COMP,O O O I-COMP,"[(2, 3, 'COMP')]",[],missed_entity
15,B-COMP I-COMP O B-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP O O O B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O,O O I-COMP O I-COMP O O O O O O O O O O I-COMP I-COMP O O I-COMP I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP,"[(0, 1, 'COMP'), (3, 4, 'COMP'), (13, 20, 'COMP'), (29, 31, 'COMP'), (35, 36, 'COMP'), (37, 40, 'COMP'), (63, 66, 'COMP')]",[],missed_entity
16,B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O,O O O I-COMP I-COMP O O O O O O O O O O O O O O I-COMP I-COMP I-COMP O O O O I-COMP I-COMP I-COMP O O O O I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP O I-COMP I-COMP I-COMP I-COMP,"[(0, 3, 'COMP'), (25, 26, 'COMP'), (31, 33, 'COMP')]",[],missed_entity
17,O O B-COMP I-COMP O O O O O B-COMP I-COMP O B-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O,O O O I-COMP I-COMP O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O I-COMP I-COMP I-COMP I-COMP,"[(2, 3, 'COMP'), (9, 10, 'COMP'), (12, 13, 'COMP'), (23, 26, 'COMP')]",[],missed_entity
18,O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP,O O O O O O I-COMP I-COMP O I-COMP I-COMP,"[(4, 6, 'COMP'), (8, 10, 'COMP')]",[],missed_entity
19,O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O,O O O O O O O O I-COMP I-COMP O O O O O O O O I-COMP I-COMP O O I-COMP O I-COMP O O I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O I-COMP I-COMP O O O O O O O O I-COMP,"[(6, 7, 'COMP'), (26, 28, 'COMP'), (48, 50, 'COMP')]",[],missed_entity
20,O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP O O O O O O I-COMP O O O O O O O,"[(6, 7, 'COMP')]",[],missed_entity
21,O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O,O O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O I-COMP O O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP I-COMP O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O,"[(2, 10, 'COMP'), (59, 62, 'COMP'), (68, 73, 'COMP')]",[],missed_entity
23,B-COMP I-COMP I-COMP O O B-COMP I-COMP O O O O O O O O O O O O O O O O O,O O I-COMP I-COMP O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O I-COMP I-COMP,"[(0, 2, 'COMP'), (5, 6, 'COMP')]",[],missed_entity
24,O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O I-COMP O I-COMP O O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O I-COMP O O I-COMP O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O I-COMP O O O O O O O O O O O O O O O O O O,"[(18, 21, 'COMP'), (35, 37, 'COMP')]",[],missed_entity
25,O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O,O O O O O O O O O O O O I-COMP O O O I-COMP I-COMP I-COMP I-COMP I-COMP,"[(16, 19, 'COMP')]",[],missed_entity
26,B-COMP I-COMP O B-COMP,O O I-COMP O,"[(0, 1, 'COMP'), (3, 3, 'COMP')]",[],missed_entity
27,O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O,O O O O O O I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,"[(16, 23, 'COMP'), (45, 48, 'COMP'), (49, 52, 'COMP')]",[],missed_entity
28,O B-COMP I-COMP I-COMP O O O O O,O O O I-COMP I-COMP I-COMP O I-COMP I-COMP,"[(1, 3, 'COMP')]",[],missed_entity
29,B-COMP I-COMP O B-COMP I-COMP O B-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O,O O I-COMP O I-COMP I-COMP O O I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O I-COMP I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP I-COMP,"[(0, 1, 'COMP'), (3, 4, 'COMP'), (6, 8, 'COMP'), (22, 25, 'COMP')]",[],missed_entity
30,O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O I-COMP I-COMP O O O O O O O O O O O O O I-COMP I-COMP O O O I-COMP O I-COMP I-COMP I-COMP O O O O O O O O O O O I-COMP O O O O O O O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O I-COMP O O O O O O O O O O O O O O O O O O O O O O,"[(1, 2, 'COMP'), (22, 24, 'COMP'), (44, 46, 'COMP'), (48, 51, 'COMP')]",[],missed_entity
31,B-COMP I-COMP I-COMP O O O O O O O O,O O I-COMP I-COMP O O O I-COMP O O I-COMP,"[(0, 2, 'COMP')]",[],missed_entity
32,B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP,O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O O O O O I-COMP,"[(0, 3, 'COMP'), (4, 6, 'COMP'), (7, 9, 'COMP'), (10, 14, 'COMP'), (19, 21, 'COMP')]",[],missed_entity
33,B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O,O O O I-COMP I-COMP O O O O O O I-COMP I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP I-COMP O O O O I-COMP O I-COMP O O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O I-COMP I-COMP I-COMP,"[(0, 3, 'COMP'), (5, 12, 'COMP'), (20, 23, 'COMP'), (33, 36, 'COMP'), (40, 45, 'COMP'), (53, 57, 'COMP')]",[],missed_entity
34,O O O O B-COMP I-COMP I-COMP I-COMP I-COMP,O O O O I-COMP O I-COMP I-COMP I-COMP,"[(4, 8, 'COMP')]",[],missed_entity
35,O O B-COMP I-COMP I-COMP,O O O I-COMP I-COMP,"[(2, 4, 'COMP')]",[],missed_entity
36,O O B-COMP I-COMP I-COMP O B-COMP I-COMP O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O,O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O I-COMP O O O O O O O I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP O O,"[(2, 4, 'COMP'), (6, 7, 'COMP'), (24, 27, 'COMP'), (54, 55, 'COMP'), (57, 58, 'COMP'), (90, 92, 'COMP')]",[],missed_entity
37,B-COMP I-COMP I-COMP O B-COMP,O O I-COMP I-COMP O,"[(0, 2, 'COMP'), (4, 4, 'COMP')]",[],missed_entity
38,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O I-COMP O O O O O O O O O O O,"[(27, 33, 'COMP'), (35, 41, 'COMP'), (42, 43, 'COMP')]",[],missed_entity
40,O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O,O O O O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O I-COMP O,"[(23, 24, 'COMP')]",[],missed_entity
41,O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O,O O O O O O O O I-COMP O I-COMP O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O I-COMP O I-COMP I-COMP O I-COMP O O O O O I-COMP O I-COMP O O I-COMP I-COMP I-COMP O O O O I-COMP O O O O I-COMP I-COMP O O O O O O O O O O O O O O O I-COMP,"[(14, 19, 'COMP'), (53, 54, 'COMP')]",[],missed_entity
42,B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O,O O I-COMP O O O O O I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O I-COMP I-COMP O O,"[(0, 4, 'COMP')]",[],missed_entity
43,O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP O B-COMP O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP O O O O B-COMP I-COMP,O O O O O O O O O O O O I-COMP I-COMP I-COMP O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O I-COMP O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP O O O O O O O O O O O O O O O O O O O I-COMP O O O O O O O O O O I-COMP O O O I-COMP I-COMP I-COMP O O I-COMP O O O O O I-COMP I-COMP O I-COMP I-COMP O,"[(11, 13, 'COMP'), (22, 23, 'COMP'), (28, 31, 'COMP'), (43, 48, 'COMP'), (56, 57, 'COMP'), (59, 59, 'COMP'), (67, 69, 'COMP'), (80, 82, 'COMP'), (95, 97, 'COMP'), (104, 108, 'COMP'), (110, 110, 'COMP'), (115, 116, 'COMP')]",[],missed_entity
44,O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP,O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP,"[(7, 9, 'COMP'), (11, 13, 'COMP'), (17, 19, 'COMP'), (21, 24, 'COMP')]",[],missed_entity
45,O O O O O O O O B-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP O O O O O O O O O O,O O O O O I-COMP O O I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP,"[(8, 10, 'COMP'), (13, 15, 'COMP')]",[],missed_entity
46,O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O,O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,"[(7, 10, 'COMP'), (15, 23, 'COMP')]",[],missed_entity
47,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O I-COMP O I-COMP O I-COMP O I-COMP O O O O O I-COMP O O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O I-COMP O I-COMP O I-COMP O O O I-COMP I-COMP O O O I-COMP I-COMP O O O O O O O O O O O O I-COMP O I-COMP O O O O O I-COMP I-COMP O O O O O I-COMP I-COMP O I-COMP O O O O I-COMP O O O O I-COMP I-COMP O O O O O I-COMP O O O O O O O,"[(25, 27, 'COMP'), (43, 44, 'COMP'), (90, 91, 'COMP'), (95, 97, 'COMP')]",[],missed_entity
48,B-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O B-COMP I-COMP O B-COMP I-COMP I-COMP O B-COMP I-COMP,O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP O I-COMP,"[(0, 4, 'COMP'), (5, 6, 'COMP'), (8, 9, 'COMP'), (11, 13, 'COMP'), (15, 16, 'COMP')]",[],missed_entity
49,O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O I-COMP O I-COMP I-COMP O O O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP O,"[(20, 21, 'COMP'), (23, 30, 'COMP')]",[],missed_entity
50,O O B-COMP O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP,O O I-COMP I-COMP O I-COMP O O O I-COMP I-COMP I-COMP I-COMP,"[(2, 2, 'COMP'), (8, 10, 'COMP'), (11, 12, 'COMP')]",[],missed_entity
52,O O O O O O O O O B-COMP O B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O O O O I-COMP O I-COMP O I-COMP I-COMP I-COMP I-COMP O I-COMP O O O I-COMP I-COMP I-COMP I-COMP O O O O I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP O I-COMP,"[(9, 9, 'COMP'), (11, 13, 'COMP'), (14, 23, 'COMP'), (24, 45, 'COMP')]",[],missed_entity
53,O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O O O O I-COMP I-COMP O O I-COMP O I-COMP O O O O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP,"[(6, 8, 'COMP'), (24, 31, 'COMP'), (33, 37, 'COMP')]",[],missed_entity
54,O O O O O O O O O B-COMP I-COMP I-COMP I-COMP,O O O O O I-COMP O O O O I-COMP I-COMP I-COMP,"[(9, 12, 'COMP')]",[],missed_entity
55,O O O O B-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O I-COMP I-COMP O O O O O O O I-COMP O I-COMP O I-COMP I-COMP I-COMP,"[(4, 5, 'COMP'), (8, 13, 'COMP'), (16, 20, 'COMP')]",[],missed_entity
56,B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O O O O O O O O O O I-COMP I-COMP O O I-COMP O I-COMP I-COMP O O I-COMP I-COMP O,"[(0, 8, 'COMP'), (10, 14, 'COMP'), (16, 26, 'COMP')]",[],missed_entity
57,O O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O,O O O O O O O O O O O O I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O I-COMP I-COMP I-COMP O O,"[(10, 12, 'COMP'), (14, 15, 'COMP'), (16, 19, 'COMP')]",[],missed_entity
58,O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP O O O O O O O O O,O O O O O O O O O O I-COMP O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP O O O O O O O O,"[(15, 20, 'COMP'), (24, 26, 'COMP')]",[],missed_entity
59,O O O O O B-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O O O I-COMP O O O O O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP,"[(5, 6, 'COMP'), (15, 17, 'COMP'), (18, 19, 'COMP'), (22, 26, 'COMP')]",[],missed_entity
60,O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O,O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP O O O,"[(12, 15, 'COMP')]",[],missed_entity
61,O O O O O O B-COMP I-COMP,O O O I-COMP O O I-COMP I-COMP,"[(6, 7, 'COMP')]",[],missed_entity
62,B-COMP I-COMP I-COMP O O O,O I-COMP I-COMP I-COMP O O,"[(0, 2, 'COMP')]",[],missed_entity
63,O O O O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O B-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O,O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP O O O O O O O O O O O O I-COMP I-COMP I-COMP O O I-COMP I-COMP O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O,"[(4, 7, 'COMP'), (8, 10, 'COMP'), (31, 32, 'COMP'), (36, 38, 'COMP'), (42, 46, 'COMP')]",[],missed_entity
64,O O O O O O O O O O O O O O O B-COMP I-COMP,O O O O O O I-COMP I-COMP O I-COMP O O O O O O I-COMP,"[(15, 16, 'COMP')]",[],missed_entity
65,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O,O O O O O I-COMP I-COMP O O O O O O O O O O O O O O O I-COMP O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O O I-COMP I-COMP O I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O I-COMP I-COMP O O O O,"[(32, 33, 'COMP'), (54, 55, 'COMP')]",[],missed_entity
66,B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,O O O I-COMP I-COMP I-COMP,"[(0, 5, 'COMP')]",[],missed_entity
