index,gold_tags,pred_tags,gold_spans,pred_spans,error_type
22,B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O,"[(0, 3, 'COMP'), (22, 26, 'COMP'), (49, 51, 'COMP')]","[(1, 8, 'COMP'), (23, 31, 'COMP'), (45, 49, 'COMP'), (50, 55, 'COMP'), (56, 60, 'COMP')]",boundary_error
23,B-COMP I-COMP I-COMP O O B-COMP I-COMP O O O O O O O O O O O O O O O O O,O B-COMP I-COMP I-COMP O B-COMP B-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O,"[(0, 2, 'COMP'), (5, 6, 'COMP')]","[(1, 3, 'COMP'), (5, 5, 'COMP'), (6, 7, 'COMP'), (9, 13, 'COMP')]",boundary_error
24,O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O I-COMP O O O O O O O O O O O O O O O O O O,"[(18, 21, 'COMP'), (35, 37, 'COMP')]","[(21, 24, 'COMP'), (38, 41, 'COMP'), (43, 48, 'COMP')]",boundary_error
25,O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O,O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP,"[(16, 19, 'COMP')]","[(17, 20, 'COMP')]",boundary_error
26,B-COMP I-COMP O B-COMP,B-COMP B-COMP I-COMP O,"[(0, 1, 'COMP'), (3, 3, 'COMP')]","[(0, 0, 'COMP'), (1, 2, 'COMP')]",boundary_error
27,O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O,O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O B-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP,"[(16, 23, 'COMP'), (45, 48, 'COMP'), (49, 52, 'COMP')]","[(17, 18, 'COMP'), (28, 28, 'COMP'), (47, 51, 'COMP'), (52, 54, 'COMP')]",boundary_error
28,O B-COMP I-COMP I-COMP O O O O O,O O B-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP,"[(1, 3, 'COMP')]","[(2, 6, 'COMP')]",boundary_error
29,B-COMP I-COMP O B-COMP I-COMP O B-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O,O B-COMP I-COMP O B-COMP I-COMP O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP I-COMP,"[(0, 1, 'COMP'), (3, 4, 'COMP'), (6, 8, 'COMP'), (22, 25, 'COMP')]","[(1, 2, 'COMP'), (4, 5, 'COMP'), (7, 9, 'COMP'), (11, 16, 'COMP'), (24, 27, 'COMP'), (31, 34, 'COMP')]",boundary_error
30,O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-COMP I-COMP O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[(1, 2, 'COMP'), (22, 24, 'COMP'), (44, 46, 'COMP'), (48, 51, 'COMP')]","[(2, 3, 'COMP'), (16, 18, 'COMP'), (24, 26, 'COMP'), (44, 48, 'COMP'), (50, 53, 'COMP')]",boundary_error
31,B-COMP I-COMP I-COMP O O O O O O O O,O B-COMP I-COMP I-COMP O O O O O O O,"[(0, 2, 'COMP')]","[(1, 3, 'COMP')]",boundary_error
32,B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP,O B-COMP I-COMP I-COMP I-COMP B-COMP B-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O,"[(0, 3, 'COMP'), (4, 6, 'COMP'), (7, 9, 'COMP'), (10, 14, 'COMP'), (19, 21, 'COMP')]","[(1, 4, 'COMP'), (5, 5, 'COMP'), (6, 10, 'COMP'), (11, 15, 'COMP')]",boundary_error
33,B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O,O B-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP,"[(0, 3, 'COMP'), (5, 12, 'COMP'), (20, 23, 'COMP'), (33, 36, 'COMP'), (40, 45, 'COMP'), (53, 57, 'COMP')]","[(1, 4, 'COMP'), (12, 13, 'COMP'), (22, 25, 'COMP'), (42, 48, 'COMP'), (56, 58, 'COMP')]",boundary_error
34,O O O O B-COMP I-COMP I-COMP I-COMP I-COMP,O O O O O B-COMP I-COMP I-COMP I-COMP,"[(4, 8, 'COMP')]","[(5, 8, 'COMP')]",boundary_error
35,O O B-COMP I-COMP I-COMP,B-COMP B-COMP O B-COMP I-COMP,"[(2, 4, 'COMP')]","[(0, 0, 'COMP'), (1, 1, 'COMP'), (3, 4, 'COMP')]",boundary_error
36,O O B-COMP I-COMP I-COMP O B-COMP I-COMP O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O,O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP O O,"[(2, 4, 'COMP'), (6, 7, 'COMP'), (24, 27, 'COMP'), (54, 55, 'COMP'), (57, 58, 'COMP'), (90, 92, 'COMP')]","[(1, 5, 'COMP'), (7, 8, 'COMP'), (25, 30, 'COMP'), (59, 61, 'COMP'), (62, 63, 'COMP'), (79, 81, 'COMP'), (82, 87, 'COMP'), (96, 98, 'COMP')]",boundary_error
37,B-COMP I-COMP I-COMP O B-COMP,O B-COMP I-COMP I-COMP O,"[(0, 2, 'COMP'), (4, 4, 'COMP')]","[(1, 3, 'COMP')]",boundary_error
38,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O,"[(27, 33, 'COMP'), (35, 41, 'COMP'), (42, 43, 'COMP')]","[(42, 49, 'COMP')]",boundary_error
41,O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O I-COMP O O O O O O O O O O O B-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O,"[(14, 19, 'COMP'), (53, 54, 'COMP')]","[(15, 20, 'COMP'), (39, 40, 'COMP'), (55, 56, 'COMP')]",boundary_error
43,O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP O B-COMP O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP O O O O B-COMP I-COMP,O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O B-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O I-COMP O O O O I-COMP O,"[(11, 13, 'COMP'), (22, 23, 'COMP'), (28, 31, 'COMP'), (43, 48, 'COMP'), (56, 57, 'COMP'), (59, 59, 'COMP'), (67, 69, 'COMP'), (80, 82, 'COMP'), (95, 97, 'COMP'), (104, 108, 'COMP'), (110, 110, 'COMP'), (115, 116, 'COMP')]","[(12, 14, 'COMP'), (20, 24, 'COMP'), (29, 32, 'COMP'), (39, 40, 'COMP'), (56, 61, 'COMP'), (84, 85, 'COMP'), (100, 102, 'COMP')]",boundary_error
44,O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP,O O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP,"[(7, 9, 'COMP'), (11, 13, 'COMP'), (17, 19, 'COMP'), (21, 24, 'COMP')]","[(6, 8, 'COMP'), (9, 11, 'COMP'), (13, 15, 'COMP'), (17, 21, 'COMP'), (23, 24, 'COMP')]",boundary_error
45,O O O O O O O O B-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP O O O O O O O O O O,O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O O O O O B-COMP I-COMP,"[(8, 10, 'COMP'), (13, 15, 'COMP')]","[(9, 11, 'COMP'), (13, 16, 'COMP'), (17, 18, 'COMP'), (24, 25, 'COMP')]",boundary_error
46,O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O,O O O O O O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O O O O I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,"[(7, 10, 'COMP'), (15, 23, 'COMP')]","[(6, 9, 'COMP'), (10, 11, 'COMP'), (19, 24, 'COMP')]",boundary_error
47,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP B-COMP I-COMP O O O O I-COMP O O O O O O O O O O O O O O I-COMP O O O O O O O O O O O O O I-COMP O I-COMP O O O B-COMP I-COMP O O O O B-COMP I-COMP O O O O I-COMP I-COMP O O O O O O O,"[(25, 27, 'COMP'), (43, 44, 'COMP'), (90, 91, 'COMP'), (95, 97, 'COMP')]","[(19, 23, 'COMP'), (31, 35, 'COMP'), (54, 55, 'COMP'), (56, 57, 'COMP'), (97, 98, 'COMP'), (103, 104, 'COMP')]",boundary_error
48,B-COMP I-COMP I-COMP I-COMP I-COMP B-COMP I-COMP O B-COMP I-COMP O B-COMP I-COMP I-COMP O B-COMP I-COMP,B-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O B-COMP,"[(0, 4, 'COMP'), (5, 6, 'COMP'), (8, 9, 'COMP'), (11, 13, 'COMP'), (15, 16, 'COMP')]","[(0, 0, 'COMP'), (1, 5, 'COMP'), (7, 10, 'COMP'), (12, 14, 'COMP'), (16, 16, 'COMP')]",boundary_error
49,O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O,"[(20, 21, 'COMP'), (23, 30, 'COMP')]","[(24, 25, 'COMP'), (27, 34, 'COMP')]",boundary_error
50,O O B-COMP O O O O O B-COMP I-COMP I-COMP B-COMP I-COMP,O O B-COMP I-COMP O O O O O B-COMP I-COMP I-COMP O,"[(2, 2, 'COMP'), (8, 10, 'COMP'), (11, 12, 'COMP')]","[(2, 3, 'COMP'), (9, 11, 'COMP')]",boundary_error
51,O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O,"[(3, 11, 'COMP'), (21, 25, 'COMP')]","[(4, 10, 'COMP'), (18, 26, 'COMP'), (40, 41, 'COMP'), (43, 46, 'COMP')]",boundary_error
